stamp	stamp	Humidity	temperature
1533818435	1533818436	27.9	28.7
1533818436	1533818437	30.6	23.7
1533818437	1533818438	30.5	23.6
1533818438	1533818439	30.6	23.6
1533818439	1533818440	30.6	23.6
1533818440	1533818441	30.7	23.6
1533818441	1533818442	30.7	23.6
1533818442	1533818443	30.7	23.6
1533818443	1533818444	30.7	23.6
1533818444	1533818445	30.7	23.6
1533818445	1533818446	30.8	23.6
1533818446	1533818447	30.8	23.6
1533818447	1533818448	30.8	23.6
1533818448	1533818449	30.8	23.6
1533818449	1533818450	30.8	23.6
1533818450	1533818451	30.8	23.6
1533818451	1533818452	30.8	23.6
1533818452	1533818453	30.8	23.6
1533818453	1533818454	30.8	23.5
1533818454	1533818455	30.8	23.5
1533818455	1533818456	30.8	23.5
1533818456	1533818457	30.8	23.5
1533818457	1533818458	30.8	23.5
1533818458	1533818459	30.8	23.5
1533818459	1533818460	30.8	23.5
1533818460	1533818461	30.8	23.5
1533818461	1533818462	30.8	23.5
1533818462	1533818463	30.9	23.5
1533818463	1533818464	30.9	23.5
1533818464	1533818465	30.9	23.4
1533818465	1533818466	30.9	23.4
1533818466	1533818467	30.9	23.4
1533818467	1533818468	30.9	23.4
1533818468	1533818469	30.9	23.4
1533818469	1533818470	30.9	23.4
1533818470	1533818471	31	23.4
1533818471	1533818472	31	23.4
1533818472	1533818473	31	23.4
1533818473	1533818474	31	23.4
1533818474	1533818475	31	23.3
1533818475	1533818476	31	23.4
1533818476	1533818477	31	23.4
1533818477	1533818478	31	23.4
1533818478	1533818479	31	23.4
1533818479	1533818480	31	23.4
1533818480	1533818481	31	23.4
1533818481	1533818482	31.1	23.4
1533818482	1533818483	31	23.4
1533818483	1533818484	31.1	23.4
1533818484	1533818485	31.1	23.4
1533818485	1533818486	31.1	23.4
1533818486	1533818487	31.1	23.4
1533818487	1533818488	31.1	23.4
1533818488	1533818489	31.1	23.4
1533818489	1533818490	31.1	23.4
1533818490	1533818491	31.1	23.4
1533818491	1533818492	31.1	23.3
1533818492	1533818493	31.1	23.4
1533818493	1533818494	31.2	23.3
1533818494	1533818495	31.2	23.4
1533818495	1533818496	31.2	23.3
1533818496	1533818497	31.2	23.4
1533818497	1533818498	31.2	23.3
1533818498	1533818499	31.2	23.3
1533818499	1533818500	31.2	23.3
1533818500	1533818501	31.2	23.3
1533818501	1533818502	31.2	23.3
1533818502	1533818503	31.2	23.3
1533818503	1533818504	31.3	23.3
1533818504	1533818505	31.3	23.3
1533818505	1533818506	31.3	23.3
1533818506	1533818507	31.3	23.3
1533818507	1533818508	31.3	23.3
1533818508	1533818509	31.3	23.3
1533818509	1533818510	31.3	23.3
1533818510	1533818511	31.3	23.3
1533818511	1533818512	31.3	23.3
1533818512	1533818513	31.3	23.3
1533818513	1533818514	31.3	23.3
1533818514	1533818515	31.3	23.3
1533818515	1533818516	31.3	23.3
1533818516	1533818517	31.3	23.3
1533818517	1533818518	31.3	23.3
1533818518	1533818519	31.4	23.3
1533818519	1533818520	31.4	23.3
1533818520	1533818521	31.4	23.3
1533818521	1533818522	31.4	23.3
1533818522	1533818523	31.4	23.3
1533818523	1533818524	31.4	23.3
1533818524	1533818525	31.4	23.3
1533818525	1533818526	31.4	23.3
1533818526	1533818527	31.4	23.3
1533818527	1533818528	31.4	23.3
1533818528	1533818529	31.4	23.3
1533818529	1533818530	31.4	23.3
1533818530	1533818531	31.4	23.3
1533818531	1533818532	31.4	23.3
1533818532	1533818533	31.4	23.3
1533818533	1533818534	31.4	23.3
1533818534	1533818535	31.4	23.3
1533818535	1533818536	31.4	23.3
1533818536	1533818537	31.4	23.3
1533818537	1533818538	31.4	23.3
